,All-Star,DPOY,MVP,ROTY,FMVP,Six-Man,All-NBA
Bobby Wanzer,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Webber,5.0,0.0,0.0,1.0,0.0,0.0,5.0
Paul Westphal,5.0,0.0,0.0,0.0,0.0,0.0,4.0
Vin Baker,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Walt Bellamy,4.0,0.0,0.0,1.0,0.0,0.0,0.0
Otis Birdsong,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Rolando Blackman,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Devin Booker,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Tom Chambers,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Maurice Cheeks,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Collins,4.0,0.0,0.0,0.0,0.0,0.0,0.0
DeMarcus Cousins,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Billy Cunningham,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Bob Dandridge,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Bob Davies,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Dick Garmaker,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Draymond Green,4.0,1.0,0.0,0.0,0.0,0.0,2.0
Johnny Green,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Penny Hardaway,4.0,0.0,0.0,0.0,0.0,0.0,3.0
Connie Hawkins,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Spencer Haywood,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Mel Hutchins,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Jones,4.0,0.0,0.0,0.0,0.0,1.0,0.0
Bernard King,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Bill Laimbeer,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Clyde Lovellette,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Maurice Lucas,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Shawn Marion,4.0,0.0,0.0,0.0,0.0,0.0,2.0
George Mikan,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Millsap,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Earl Monroe,4.0,0.0,0.0,1.0,0.0,0.0,1.0
Willie Naulls,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Pollard,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Price,4.0,0.0,0.0,0.0,0.0,0.0,4.0
