,All-Star,DPOY,MVP,ROTY,FMVP,Six-Man,All-NBA,Draft-Year
Ray Allen,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1996.0
Carmelo Anthony,10.0,0.0,0.0,0.0,0.0,0.0,6.0,2003.0
Paul Arizin,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1950.0
Stephen Curry,10.0,0.0,2.0,0.0,1.0,0.0,9.0,2009.0
Clyde Drexler,10.0,0.0,0.0,0.0,0.0,0.0,5.0,1983.0
Hal Greer,10.0,0.0,0.0,0.0,0.0,0.0,7.0,1958.0
James Harden,10.0,0.0,1.0,0.0,0.0,1.0,7.0,2009.0
Jason Kidd,10.0,0.0,0.0,1.0,0.0,0.0,6.0,1994.0
Paul Pierce,10.0,0.0,0.0,0.0,1.0,0.0,4.0,1998.0
David Robinson,10.0,1.0,1.0,1.0,0.0,0.0,10.0,1987.0
John Stockton,10.0,0.0,0.0,0.0,0.0,0.0,11.0,1984.0
Anthony Davis,9.0,0.0,0.0,0.0,0.0,0.0,4.0,2012.0
Paul George,9.0,0.0,0.0,0.0,0.0,0.0,6.0,2010.0
George Gervin,9.0,0.0,0.0,0.0,0.0,0.0,7.0,1974.0
Robert Parish,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1976.0
Gary Payton,9.0,1.0,0.0,0.0,0.0,0.0,9.0,1990.0
Russell Westbrook,9.0,0.0,1.0,0.0,0.0,0.0,9.0,2008.0
Lenny Wilkens,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0
Dominique Wilkins,9.0,0.0,0.0,0.0,0.0,0.0,7.0,1982.0
Giannis Antetokounmpo,8.0,1.0,2.0,0.0,1.0,0.0,7.0,2013.0
Rick Barry,8.0,0.0,0.0,1.0,1.0,0.0,6.0,1965.0
Vince Carter,8.0,0.0,0.0,1.0,0.0,0.0,2.0,1998.0
Dave Cowens,8.0,0.0,1.0,1.0,0.0,0.0,3.0,1970.0
Dave DeBusschere,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1962.0
Alex English,8.0,0.0,0.0,0.0,0.0,0.0,3.0,1976.0
Larry Foust,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.0
Dwight Howard,8.0,3.0,0.0,0.0,0.0,0.0,8.0,2004.0
Kyrie Irving,8.0,0.0,0.0,1.0,0.0,0.0,3.0,2011.0
Bob Lanier,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0
Damian Lillard,8.0,0.0,0.0,1.0,0.0,0.0,7.0,2012.0
Dikembe Mutombo,8.0,4.0,0.0,0.0,0.0,0.0,3.0,1991.0
Steve Nash,8.0,0.0,2.0,0.0,0.0,0.0,7.0,1996.0
Bill Sharman,8.0,0.0,0.0,0.0,0.0,0.0,5.0,1950.0
Yao Ming,8.0,0.0,0.0,0.0,0.0,0.0,5.0,2002.0
LaMarcus Aldridge,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0
Dave Bing,7.0,0.0,0.0,1.0,0.0,0.0,3.0,1966.0
Joel Embiid,7.0,0.0,1.0,0.0,0.0,0.0,5.0,2014.0
Walt Frazier,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1967.0
Harry Gallatin,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0
Grant Hill,7.0,0.0,0.0,1.0,0.0,0.0,5.0,1994.0
Joe Johnson,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2001.0
Jerry Lucas,7.0,0.0,0.0,1.0,0.0,0.0,5.0,1962.0
Ed Macauley,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Slater Martin,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1949.0
Tracy McGrady,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1997.0
Dick McGuire,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Kevin McHale,7.0,0.0,0.0,0.0,0.0,2.0,1.0,1980.0
Alonzo Mourning,7.0,2.0,0.0,0.0,0.0,0.0,2.0,1992.0
Scottie Pippen,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1987.0
Willis Reed,7.0,0.0,1.0,1.0,2.0,0.0,5.0,1964.0
Jack Sikma,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0
Nate Thurmond,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1963.0
Chet Walker,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0
Jo Jo White,7.0,0.0,0.0,0.0,1.0,0.0,2.0,1969.0
James Worthy,7.0,0.0,0.0,0.0,1.0,0.0,2.0,1982.0
Nate Archibald,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1970.0
Jimmy Butler,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2011.0
Larry Costello,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1954.0
Adrian Dantley,6.0,0.0,0.0,1.0,0.0,0.0,2.0,1976.0
Walter Davis,6.0,0.0,0.0,1.0,0.0,0.0,2.0,1977.0
DeMar DeRozan,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2009.0
Joe Dumars,6.0,0.0,0.0,0.0,1.0,0.0,3.0,1985.0
Pau Gasol,6.0,0.0,0.0,1.0,0.0,0.0,4.0,2001.0
Artis Gilmore,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0
Blake Griffin,6.0,0.0,0.0,1.0,0.0,0.0,5.0,2009.0
Richie Guerin,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1954.0
Tom Heinsohn,6.0,0.0,0.0,1.0,0.0,0.0,4.0,1956.0
Bailey Howell,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1959.0
Lou Hudson,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1966.0
Neil Johnston,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1951.0
Nikola Jokic,6.0,0.0,2.0,0.0,1.0,0.0,5.0,2014.0
Shawn Kemp,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1989.0
Kawhi Leonard,6.0,2.0,0.0,0.0,2.0,0.0,5.0,2011.0
Kyle Lowry,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2006.0
Vern Mikkelsen,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Jermaine O'Neal,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1996.0
Tony Parker,6.0,0.0,0.0,0.0,1.0,0.0,4.0,2001.0
Mitch Richmond,6.0,0.0,0.0,1.0,0.0,0.0,5.0,1988.0
Amar'e Stoudemire,6.0,0.0,0.0,1.0,0.0,0.0,5.0,2002.0
Jack Twyman,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1955.0
George Yardley,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1950.0
Chauncey Billups,5.0,0.0,0.0,0.0,1.0,0.0,3.0,1997.0
Carl Braun,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Brad Daugherty,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1986.0
Luka Doncic,5.0,0.0,0.0,1.0,0.0,0.0,4.0,2018.0
Wayne Embry,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0
Tom Gola,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1955.0
Gail Goodrich,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1965.0
Cliff Hagan,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1953.0
Tim Hardaway,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1989.0
Al Horford,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0
Dennis Johnson,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1976.0
Gus Johnson,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1963.0
Marques Johnson,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1977.0
Sam Jones,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1957.0
Rudy LaRusso,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0
Kevin Love,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0
Pete Maravich,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1970.0
Bob McAdoo,5.0,0.0,1.0,1.0,0.0,0.0,2.0,1972.0
Reggie Miller,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1987.0
Donovan Mitchell,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2017.0
Sidney Moncrief,5.0,2.0,0.0,0.0,0.0,0.0,5.0,1979.0
Chris Mullin,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1985.0
Don Ohl,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0
Andy Phillip,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Gene Shue,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1954.0
Jayson Tatum,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2017.0
Klay Thompson,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2011.0
Rudy Tomjanovich,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0
Wes Unseld,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1968.0
John Wall,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0
Bobby Wanzer,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0
Chris Webber,5.0,0.0,0.0,1.0,0.0,0.0,5.0,1993.0
Paul Westphal,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1972.0
Vin Baker,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1993.0
Walt Bellamy,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1961.0
Otis Birdsong,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1977.0
Rolando Blackman,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0
Devin Booker,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2015.0
Tom Chambers,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1981.0
Maurice Cheeks,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0
Doug Collins,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0
DeMarcus Cousins,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2010.0
Billy Cunningham,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1965.0
Bob Dandridge,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1969.0
Bob Davies,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Dick Garmaker,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1955.0
Draymond Green,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2012.0
Johnny Green,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0
Penny Hardaway,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1993.0
Connie Hawkins,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1964.0
Spencer Haywood,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1971.0
Mel Hutchins,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0
Bobby Jones,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1974.0
Bernard King,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1977.0
Bill Laimbeer,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1979.0
Clyde Lovellette,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1952.0
Maurice Lucas,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1974.0
Shawn Marion,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1999.0
George Mikan,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Paul Millsap,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0
Earl Monroe,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1967.0
Willie Naulls,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0
Jim Pollard,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Mark Price,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1986.0
Micheal Ray Richardson,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0
Arnie Risen,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1948.0
Alvin Robertson,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1984.0
Guy Rodgers,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0
Rajon Rondo,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2006.0
Ralph Sampson,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1983.0
Latrell Sprewell,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1992.0
David Thompson,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1975.0
Karl-Anthony Towns,4.0,0.0,0.0,1.0,0.0,0.0,2.0,2015.0
Kemba Walker,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2011.0
Ben Wallace,4.0,4.0,0.0,0.0,0.0,0.0,5.0,1996.0
Rasheed Wallace,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
Sidney Wicks,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1971.0
Bam Adebayo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
Mark Aguirre,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0
Gilbert Arenas,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2001.0
Bradley Beal,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0
Bill Bridges,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.0
Jaylen Brown,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2016.0
Phil Chenier,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1971.0
Terry Dischinger,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1962.0
Steve Francis,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1999.0
Marc Gasol,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2007.0
Rudy Gobert,3.0,3.0,0.0,0.0,0.0,0.0,4.0,2013.0
Richard Hamilton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0
Kevin Johnson,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1987.0
Eddie Jones,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1994.0
Bob Kauffman,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.0
Johnny Kerr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0
Bob Love,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1965.0
Dan Majerle,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0
George McGinnis,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1973.0
Khris Middleton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
Jeff Mullins,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0
Larry Nance,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0
Julius Randle,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2014.0
Glen Rice,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1989.0
Derrick Rose,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2008.0
Dan Roundfield,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1975.0
Brandon Roy,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2006.0
Domantas Sabonis,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2016.0
Detlef Schrempf,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1985.0
Charlie Scott,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0
Paul Seymour,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Ben Simmons,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2016.0
Peja Stojakovic,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1996.0
Maurice Stokes,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1955.0
Dick Van Arsdale,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.0
Tom Van Arsdale,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.0
Norm Van Lier,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1969.0
Antoine Walker,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0
Jamaal Wilkes,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1974.0
Buck Williams,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1981.0
Deron Williams,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2005.0
Trae Young,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0
Leo Barnhorst,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Zelmo Beaty,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0
Carlos Boozer,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2002.0
Elton Brand,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1999.0
Terrell Brandon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0
Frank Brian,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Caron Butler,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0
Joe Caldwell,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0
Archie Clark,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1966.0
Terry Cummings,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1982.0
Baron Davis,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1999.0
Luol Deng,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0
John Drew,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0
Andre Drummond,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2012.0
Kevin Duckworth,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.0
Walter Dukes,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0
Dwight Eddleman,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Anthony Edwards,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0
Sean Elliott,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0
Michael Finley,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
Joe Fulks,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.0
Jack George,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1953.0
Shai Gilgeous-Alexander,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2018.0
Manu Ginobili,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1999.0
Tyrese Haliburton,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0
Roy Hibbert,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0
Jrue Holiday,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0
Allan Houston,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1993.0
Rod Hundley,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.0
Zydrunas Ilgauskas,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0
Antawn Jamison,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1998.0
Eddie Johnson,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1981.0
John Johnson,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0
Larry Johnson,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1991.0
Larry Kenon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.0
Don Kojis,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.0
Zach LaVine,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
David Lee,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2005.0
Fat Lever,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1982.0
Rashard Lewis,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0
Jeff Malone,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.0
Danny Manning,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1988.0
Stephon Marbury,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1996.0
Jack Marin,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0
Brad Miller,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0
Ja Morant,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2019.0
Norm Nixon,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0
Joakim Noah,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2007.0
Victor Oladipo,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2013.0
Jim Paxson,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1979.0
Geoff Petrie,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1970.0
Terry Porter,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.0
Zach Randolph,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2001.0
Glenn Robinson,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1994.0
Truck Robinson,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1974.0
Red Rocha,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Dennis Rodman,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1986.0
Jeff Ruland,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0
Fred Scolari,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1946.0
Ken Sears,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.0
Frank Selvy,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1954.0
Pascal Siakam,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2016.0
Paul Silas,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0
Jerry Sloan,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.0
Phil Smith,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1974.0
Randy Smith,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1971.0
Jerry Stackhouse,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0
Reggie Theus,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.0
Isaiah Thomas,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2011.0
Andrew Toney,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0
Kelly Tripucka,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0
Kiki Vandeweghe,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.0
Nikola Vucevic,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0
Jimmy Walker,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.0
Bill Walton,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1974.0
Scott Wedman,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0
David West,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0
Gus Williams,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1975.0
Zion Williamson,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0
Brian Winters,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0
Shareef Abdur-Rahim,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0
Alvan Adams,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1975.0
Michael Adams,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1985.0
Danny Ainge,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0
Jarrett Allen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0
Kenny Anderson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.0
B. J. Armstrong,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0
LaMelo Ball,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.0
Paolo Banchero,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2022.0
Don Barksdale,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Scottie Barnes,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
Dick Barnett,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0
Dana Barros,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0
Butch Beard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1969.0
Ralph Beard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0
Mookie Blaylock,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.0
John Block,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.0
Bob Boozer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0
Vince Boryla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.0
Bill Bradley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1965.0
Fred Brown,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0
Jalen Brunson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
Don Buse,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0
Andrew Bynum,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2004.0
